"","log2FoldChange","padj"
"CILP2",-0.24756796938223,0.46
"DDX19B",0.15866263947861,0.25
"C19orf60",-0.06898472097568,0.91
"NR2C2AP",-0.12173791161447,0.7
"DUSP1",0.21669842479567,0.02
"MAPK14",-0.03431952043191,0.9
"C19orf44",-0.17651313643196,0.59
"MED13L",-0.0695916059112,0.87
"RP11-873E20.1",-0.05895471825869,0.92
"SLC23A2",0.02810798612735,0.95
"IGIP",0.89193965043576,0
"CDYL",-0.17794585702191,0.11
"DICER1",-0.11316855227316,0.78
"YEATS2",-0.00227661004865,0.99
"RASGEF1C",-0.10132958555886,0.81
"FOXP3",-0.05522040037091,0.95
"FAM57B",-0.07054332342438,0.91
"RTDR1",0.46601675237906,0.39
"CTAGE5",-0.29741274437294,0.55
"CAMK2G",0.10706362337829,0.46
"LETMD1",0.1533202118927,0.14
"DRAXIN",-0.2407275709131,0.38
"MRPS7",-0.04498408883955,0.87
"RP11-122A3.2",-0.32384331196075,0.39
"ANTXR1",-0.54285011082568,0.01
"SCRT2",-0.05891577442198,0.87
"ATP6V1H",0.19776937080991,0.06
"NRG2",-0.20390755011097,0.6
"DCP1B",-0.14417195924357,0.43
"ZNF585A",-0.03695465921959,0.94
"ACE",-0.2130719588932,0.72
"SRCIN1",-0.12602759182146,0.75
"INTS10",-0.04355567725204,0.75
"EPC2",-0.01885594100107,0.95
"SLX4",-0.19828248074289,0.49
"MAP6",0.3064282101539,0
"CCDC8",-0.51673259385774,0.02
"BOLA1",-0.11565913439754,0.86
"FAM13A-AS1",0.54134406477189,0.08
"RASD1",-0.57606222155438,0.09
"CTC-425O23.2",-0.33057319813666,0.6
"TRIM39",0.09416064888427,0.64
"METTL18",-0.02328242746196,0.96
"PTCD1",-0.09725689380608,0.76
"RSPH3",0.0106959528429,0.98
"DISC1",0.09067294089341,0.75
"NDUFB3",0.25317403430717,0.39
"C14orf144",-0.08748953435414,0.87
"BMP3",-0.61033365140892,0.06
"DNAJC27",0.19635553200033,0.54
"BRAP",-0.05227367750939,0.76
"TNFRSF18",-0.87739594259175,0.06
"AAAS",-0.10236374867235,0.71
"ZNF217",-0.25687268652104,0.24
"RPP25L",-0.31613645004063,0.41
"CHKB",0.30465348745494,0.26
"SPTLC2",-0.25904216712293,0.5
"EIF4EBP2",-0.143920017915,0.6
"ATXN10",0.0944970152935,0.58
"CTTNBP2NL",-0.038293330614,0.91
"CDADC1",0.10005797280821,0.69
"IL11RA",0.39116906784445,0.17
"GAN",-0.44020122671401,0.23
"JRKL",0.10241455310958,0.73
"RUNDC3B",0.35454274297858,0.04
"TYMS",-1.316908200169,0
"ARMCX3",0.13151244648839,0.35
"GAS5-AS1",0.2071654089013,0.69
"RNF103",0.17669884431375,0.39
"RPL34P27",0.20275536959728,0.42
"OSBPL5",-0.4234545899864,0.28
"ITGA9",-1.33275466695784,0
"LDHAP7",-0.37858144064389,0.11
"MED17",0.06628641138087,0.7
"MT-ND5",0.79379952575278,0
"PDIA5",-0.05305669232324,0.85
"CDC14B",-0.00975510321274,0.97
"SNORD59A",0.27445580323847,0.61
"TMEM255A",0.43015041104882,0.08
"CNTN5",0.04765483995167,0.93
"ZCCHC14",0.00656383793246,0.98
"BBS1",0.20938477087187,0.32
"ARHGEF18",-0.16171610205437,0.7
"PPIAP29",0.26754729979407,0.67
"OGDH",-0.45073733739238,0.03
"EPHA10",0.4141411592293,0.25
"PIWIL4",0.16949559098317,0.77
"CTB-43E15.3",0.05118087519246,0.95
"RACGAP1",-0.67671704821528,0
"HMCN2",-0.24433732506785,0.67
"KIAA0556",-0.10429372088262,0.74
"NFATC3",-0.61026617121546,0
"SDCBPP1",0.01998328548053,0.97
"GPX8",-0.37079947149956,0
"DHX37",-0.46935013885839,0.13
"GRASP",-0.12319916775066,0.8
"HNRNPH1P3",-0.00968630204856,0.97
"SMYD2",0.17143192758079,0.03
"CTD-2302E22.5",-0.65338256162614,0.15
"FLJ00418",0.02869254622714,0.97
"STARD3NL",0.17827953886555,0.14
"OS9",-0.12311216499892,0.6
"WDR12",-0.16437097458402,0.24
"CCDC78",-0.61791535784112,0.08
"PSMG3-AS1",0.03307540634609,0.93
